Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19
156421.25,163054.84,161776.8,160775.86,161101.03,166303.12,162525.12,165878.66,165833.16,169984.84,170478.94,167295.66,170826.84,173565.53,173121.58,175439.98,176126.39,193002.88,196755.89,200792.38
161581.2,158789.53,162373.36,160909.69,164751.25,161328.12,161051.03,165827.9,164913.72,163146.58,165327.47,170298.02,175697.66,174527.0,177297.28,174957.78,182738.5,192253.22,199139.62,202116.1
160459.31,162557.39,159479.6,159335.81,159663.66,163602.78,165502.75,161986.16,166407.33,169435.7,168869.31,167109.06,171761.05,179163.89,175699.72,177190.77,183072.73,191476.34,201063.19,200217.53
157820.53,161643.53,160885.66,160760.22,159256.45,165284.62,161483.34,167831.6,164722.72,170179.44,168237.47,172498.55,171827.89,174775.58,175488.62,176050.34,180917.42,192790.62,199667.17,204218.25
156440.8,160219.73,158621.0,157575.62,161343.53,163460.81,165057.53,165856.66,166428.06,168697.78,168864.81,170943.39,169594.31,174583.81,174921.14,177818.69,180317.14,193949.12,200544.27,202764.5
159481.6,161212.72,158956.23,157637.81,161773.78,163253.11,164260.94,165607.56,164142.44,166104.14,168552.66,170060.47,171461.34,173832.53,176677.75,176195.4,180550.38,191525.97,198655.1,202740.88
159111.56,158065.75,159774.38,163058.95,160604.48,164538.34,165878.44,164082.28,168531.31,168653.28,170062.9,174380.44,173421.75,173029.12,175055.34,173995.14,179087.89,195330.2,203700.84,202174.83
163192.81,161163.47,160041.16,158002.12,162641.34,164053.94,165375.66,167875.55,169061.6,166367.12,170115.34,171293.84,170767.84,171919.94,174025.12,181212.19,179545.84,190610.67,199187.88,203826.97
156253.98,156052.05,163774.12,162138.34,165747.34,162905.5,167079.25,165690.28,162846.95,166792.69,169912.78,169952.06,169326.38,170777.81,172720.9,179055.6,182346.81,191753.44,198025.39,205946.0
158819.89,160863.97,159002.23,160382.56,163011.06,163056.22,163529.38,164303.94,166458.86,167418.47,172631.19,167495.48,171058.5,173618.36,174285.64,178031.25,180925.69,190716.53,200746.28,202952.72
157875.0,161636.19,159346.72,158921.19,162454.12,164265.64,163344.8,167001.25,166639.34,170119.03,170205.88,169869.72,169683.2,175848.58,176796.64,176679.28,181058.16,189378.1,200407.56,202647.08
161822.22,157573.38,156990.16,165035.33,163835.72,162010.2,164699.86,164950.28,166598.25,167606.97,168757.53,169308.62,170004.22,174211.61,175415.25,178279.1,178857.19,193369.38,196747.45,205242.12
158975.31,156675.06,161372.9,161564.6,161179.53,163813.53,163169.89,164171.34,167290.92,169580.5,168153.6,170025.53,171077.22,175357.56,174760.28,176834.44,182938.22,194704.03,199551.22,202398.1
161653.4,162502.19,164952.73,158882.56,163775.4,161509.4,164169.19,165871.81,164105.83,168521.22,170095.25,168733.31,173855.22,173273.7,176424.66,177506.28,182928.06,193529.97,198030.86,202623.36
160780.97,161821.88,157775.22,162671.52,162567.2,166133.69,168248.03,165691.25,165954.72,169485.78,169986.39,171579.97,172600.6,171940.56,174105.31,173699.34,182906.62,192141.97,192727.75,204620.75
159330.75,161036.44,159884.47,158258.9,164649.92,161005.31,163011.38,166229.52,166623.38,167982.22,170370.34,170098.4,173119.84,169753.03,172180.08,178203.78,176674.34,192056.31,199923.44,204099.95
160629.92,162960.5,158115.34,162513.66,161617.53,162738.47,165708.3,166164.83,165057.28,166504.64,170025.73,172052.12,170077.47,171694.33,172845.6,177851.69,180456.69,190929.23,200108.44,203386.34
158956.62,158791.78,159720.67,161303.16,160619.19,163096.1,163381.31,163436.16,167662.19,165507.4,167579.72,170634.34,169118.06,173417.23,173776.03,176946.95,180238.75,188760.33,198265.84,206370.92
159543.06,161794.06,156653.61,161496.31,163489.88,162864.48,163755.17,166777.28,168285.19,170267.42,173311.1,171757.83,168467.12,171069.56,177297.5,174740.86,180887.62,192899.06,195970.73,201181.08
157647.58,157543.23,159662.88,159322.7,160916.22,164263.17,162984.72,165697.28,167176.84,166703.92,164661.03,169971.16,171357.5,176730.22,176543.78,179434.28,181321.75,193564.52,200769.2,203792.8
161080.06,160263.75,158511.06,167126.12,161702.4,165114.1,161846.16,167908.56,164540.28,168130.92,165617.44,168356.25,172495.08,173455.56,175788.05,175171.45,180468.45,192610.6,200622.47,203074.22
161975.06,159204.77,159137.33,163905.25,160407.25,167017.11,161546.97,163444.94,165403.66,168210.44,167611.5,169738.81,171713.64,172108.16,178882.73,176980.53,180753.69,193939.67,196923.78,202084.1
157489.06,160133.25,163431.03,163847.88,163472.47,165302.84,164235.9,164944.6,167070.69,168363.34,167801.73,167806.34,168422.38,170999.58,173477.83,176446.75,180051.0,193877.64,197270.73,202006.31
159056.05,157198.31,159670.22,160060.58,165838.17,163265.31,167481.81,166291.64,166107.42,171540.34,172547.94,170029.25,174676.5,170190.34,172063.31,175448.19,179404.86,192552.53,199285.77,204014.11
158646.1,157886.88,160732.56,159268.62,165257.03,165827.05,161494.84,165472.0,166387.94,168721.44,167817.52,171331.36,167218.81,178822.1,173940.16,177207.53,179189.52,191970.47,198426.27,204585.22
157308.28,156796.03,156863.45,164098.53,162328.56,162524.47,161503.94,169210.84,165022.75,167359.48,168745.98,172607.05,171777.03,172867.92,176543.88,181931.81,180940.84,189570.23,197885.6,203177.98
159293.97,160964.16,159806.75,159748.77,163891.27,163105.1,165517.42,166517.28,168918.31,166872.3,166255.47,168895.64,172846.38,173960.52,176511.12,179954.28,182599.23,192147.94,199104.94,203642.34
159458.88,161010.75,155889.69,164178.72,158241.25,163303.23,168418.31,163613.47,162558.6,169605.02,171042.6,170816.16,172813.12,173543.0,174470.52,175187.5,181003.61,189217.88,196056.98,203987.19
162280.7,157756.19,157680.03,161274.03,160221.97,162526.25,167549.4,169608.83,165511.53,168026.75,170066.81,167650.45,172477.0,173961.84,174841.1,176157.16,180911.1,191947.22,199504.97,203545.31
160323.4,157407.53,159115.25,160550.08,161273.69,164150.72,164964.34,162913.44,162551.4,166085.95,168997.66,167808.47,169486.83,173669.88,171663.75,177546.78,183184.02,193530.39,199809.53,204574.28
162965.75,159274.42,165222.19,157554.22,163611.14,164034.22,164111.81,165382.44,164969.02,166676.69,170461.53,169117.97,172187.33,171075.4,170156.73,179998.62,180942.78,193533.97,198429.67,201946.17
157508.27,159867.7,159964.12,164553.4,162773.47,161040.34,165210.1,168744.88,166622.39,170279.94,170597.75,168856.77,174004.23,172409.47,174773.66,177363.81,182588.97,191138.11,203843.53,203767.03
158240.3,159946.9,161291.88,161596.69,161457.9,159827.03,168028.64,168171.75,166035.42,169731.81,169913.12,172644.3,173020.58,172867.1,179814.53,176430.78,182272.4,188404.6,198823.28,202528.78
160750.66,158204.17,163163.4,162513.22,161228.44,158739.0,162774.5,163694.84,166379.28,167766.55,168767.28,168380.31,172242.17,171566.53,177554.47,175259.47,180988.77,195033.28,196695.1,201064.5
160797.56,160308.31,162210.6,160772.56,162548.39,164200.4,163442.06,166119.03,168184.19,165329.75,167667.08,168074.4,172391.56,172972.7,176626.16,176412.12,181438.75,194836.94,197020.81,199723.88
157590.27,160315.72,159874.28,165025.94,161065.14,164992.62,162607.06,166458.84,163427.69,169120.31,167991.14,168882.95,173825.5,172436.19,177902.16,177425.05,179603.25,191549.5,197198.9,204572.08
158788.56,157044.62,158761.81,161234.75,163450.36,164998.61,166566.44,162543.39,165653.38,166945.81,168227.16,163827.25,174649.0,171970.06,173777.66,179209.47,180727.55,189265.55,199749.84,201082.75
162066.52,163724.73,158023.33,163843.62,161864.62,161373.7,162363.22,167515.22,165777.88,167138.22,169454.72,170252.12,169334.03,169969.0,179272.69,176419.16,181979.16,193750.34,200287.9,203283.34
159803.88,157440.0,156744.12,161174.72,166451.55,161647.22,164080.6,169019.66,165656.06,167631.34,173371.48,167678.61,173005.47,170903.27,178482.81,177054.23,182431.17,190797.92,200073.47,201660.88
157234.11,153376.52,157625.1,156355.64,160781.19,162427.66,164092.44,165736.84,166044.28,168379.5,167411.1,167879.12,169519.97,172768.78,176759.1,175484.0,184319.28,192166.56,197026.19,206834.6
156695.8,163255.94,160992.53,161843.53,159697.03,164797.6,166118.4,166192.25,165198.66,168797.02,171687.55,166380.08,168730.11,172862.03,173257.08,180043.03,182227.22,191535.75,199597.88,203520.11
157819.88,159681.73,160770.34,159229.28,160082.9,165305.84,160330.7,166692.12,169167.64,169505.33,171529.72,167608.69,171780.0,177628.17,172188.97,175987.14,178522.1,193547.03,199751.16,203756.77
157833.77,158123.0,159492.84,161870.22,161656.89,163464.16,166049.78,166479.78,168593.88,168448.25,167128.95,171848.0,169217.34,173564.06,173884.9,175977.28,179074.92,189918.94,198708.42,201575.53
160773.4,160064.31,160045.06,162036.75,160738.78,164884.02,169741.88,165518.73,167616.36,170302.31,168879.75,164621.36,167593.16,171950.75,176530.0,178488.89,180981.17,193431.77,199298.84,200406.78
158557.77,161329.02,162946.03,160680.34,165810.4,162575.66,167220.23,167752.77,167572.25,165014.69,167539.14,172614.34,174599.53,172619.58,175841.2,179507.94,182439.33,189464.6,197782.06,204090.75
160974.12,160084.9,154776.62,161302.66,164181.4,162738.72,164935.52,167551.42,163448.75,167386.66,168243.62,174088.84,172740.28,173629.72,177266.03,177041.33,179404.53,191221.55,197554.66,203662.38
162710.22,159153.1,158257.84,159065.62,162176.19,162843.78,164445.4,163641.1,168205.61,166091.94,169853.72,168249.53,170772.0,169946.84,174610.16,173925.8,180531.75,191416.75,197313.81,207485.78
159888.44,156801.31,159087.72,160493.4,162818.27,162566.25,165000.97,167124.2,166199.12,168116.28,167126.53,166277.9,171741.81,173093.23,174203.67,178021.45,181971.1,189424.5,199305.42,204449.4
159220.2,155790.6,158259.4,160285.9,162406.19,160795.73,166075.6,169596.78,168219.16,168161.14,169720.22,166320.66,171054.78,174688.97,176117.69,175326.81,182387.22,190565.06,198164.34,204435.81
