Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21,Stage 22,Stage 23,Stage 24,Stage 25,Stage 26,Stage 27,Stage 28,Stage 29,Stage 30,Stage 31,Stage 32,Stage 33,Stage 34,Stage 35,Stage 36,Stage 37,Stage 38,Stage 39,Stage 40,Stage 41
202310.7,198797.95,207442.16,212169.19,215509.97,221765.53,213865.72,216230.39,211523.03,211439.02,204933.97,205927.45,199345.58,195822.19,194889.22,193623.27,196988.62,190830.19,192401.92,191166.78,189623.9,184914.69,186643.5,186409.94,188966.06,184226.08,186530.28,180710.22,181526.27,179336.89,178595.94,176545.53,173767.1,175011.06,169814.44,168875.73,168452.88,167402.81,164017.17,165541.84,156297.05,158446.97
202302.6,195142.19,205182.16,213500.9,212646.34,216111.22,216516.89,212876.6,213447.81,210470.62,205654.56,204941.12,201892.81,195770.1,196213.3,196811.66,197077.16,193996.25,190314.5,190761.53,192997.25,193788.53,184596.19,185747.69,187666.22,185001.03,184140.97,179145.75,177654.97,175046.88,176366.62,179030.94,174364.44,168861.66,168914.22,172637.56,169392.62,165590.05,163125.8,164259.31,158328.81,161609.89
203363.52,199396.33,207764.83,211276.9,216641.88,215986.06,216725.95,215901.89,213351.84,212305.67,206300.5,205609.16,203253.17,198605.88,192650.83,196047.4,193997.2,192918.6,194517.94,189338.89,190604.5,189083.72,186559.78,186028.1,184264.67,182184.72,185366.84,184255.34,180828.69,178836.11,173959.62,172777.19,174778.7,174949.88,169634.66,172381.48,164921.42,167857.0,164916.69,164136.67,158855.47,156327.95
200255.94,200212.1,204418.5,213538.16,216091.5,215341.5,215925.77,213916.7,210927.84,213005.31,206558.6,202141.92,197027.5,197997.03,193131.52,199683.78,197832.58,190047.5,192175.23,193084.1,186928.27,189670.22,186841.27,184123.83,186764.77,186612.5,179428.47,180573.14,180514.44,178205.52,175497.95,177504.5,174688.84,169128.42,170271.19,168693.5,168533.19,165189.25,162750.77,160174.4,159575.64,163427.28
201619.58,197339.48,206333.12,214905.4,214813.78,217797.67,218012.78,212510.19,210378.9,209789.38,206621.6,201262.89,201614.84,195648.97,196601.86,200554.34,191801.11,189892.06,191557.45,189908.9,191005.9,190568.78,186794.34,187168.16,185244.12,183056.69,182043.98,181352.06,179593.1,181113.38,174988.28,177720.53,174405.27,176845.38,170981.16,169966.47,168445.84,168066.2,164296.31,163076.19,157300.84,161151.88
200451.6,197443.53,199716.62,214866.45,215446.53,218263.95,213731.33,216522.02,211957.38,207520.14,204755.75,204255.73,199788.73,196973.69,200126.28,194981.98,193351.84,191112.92,192390.84,191800.3,191339.38,187448.25,184853.25,183305.47,184833.62,185630.16,185582.61,185620.36,181582.81,179823.88,177943.2,175512.44,173035.0,170620.11,170260.6,169848.02,167861.69,165821.1,165823.75,162964.4,159662.94,160126.12
205270.27,199323.33,206501.38,214031.31,215997.5,215860.61,216865.38,217464.19,214551.62,210883.0,203727.12,205194.5,199723.47,200219.4,200284.78,196198.47,193251.31,190310.34,190835.75,187697.06,191398.78,189070.22,188679.1,190860.67,185495.28,185928.31,187284.75,179604.02,184167.38,183251.16,181089.56,172199.25,175354.9,172279.16,168503.31,168828.84,166502.67,167630.16,164599.12,160904.56,163127.0,159445.9
199770.25,198085.31,206656.23,213601.3,212573.92,215239.12,215852.6,215972.17,214695.28,211321.75,203738.84,206631.84,199743.69,199872.03,195688.05,195964.1,196191.4,192436.78,191644.16,195233.56,194102.28,183093.06,187982.33,188774.53,187130.1,187290.84,184442.9,178937.27,179748.7,180491.34,178638.38,171692.66,173214.75,170781.94,169962.22,171774.19,166397.69,163396.88,163634.34,160306.4,154239.81,156732.34
202751.56,198349.64,204593.77,213128.78,215319.4,213974.28,220758.94,214439.28,215340.22,208282.77,206381.19,207117.5,198606.25,200322.6,193699.56,197416.72,189852.92,192178.22,196054.31,194961.97,190571.38,187084.16,187418.8,186524.75,183322.5,182649.52,179918.84,178783.78,181492.7,182186.27,179047.6,175281.11,175277.78,169291.89,175461.67,171737.83,168877.9,166293.06,165714.4,162529.42,164090.28,160260.75
201280.47,194997.97,205792.48,212911.5,217376.6,214549.77,217057.42,214727.03,213444.06,210465.56,208412.38,201883.55,199427.83,198254.03,193585.83,195808.12,192360.03,191541.69,191745.38,192680.3,189823.89,185158.75,189519.69,185346.94,186029.89,182281.66,184502.95,180385.05,178502.28,182662.06,177891.47,175901.38,176607.16,173275.4,169635.5,171968.94,166948.56,164972.8,161541.36,158150.25,160241.08,156726.1
