Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
202310.7,196188.6,196875.78,191144.6,185444.22,182316.69,184757.22,184555.4,185506.38,188696.72,185477.42,188393.06,190113.73,189724.1,187774.67,191393.0,189490.9,188230.86,189444.88,188951.73,189142.42,186003.16
202302.6,194576.78,199324.9,192197.58,180809.4,181694.97,182766.44,181176.56,188423.84,184184.84,187823.78,187767.86,185724.92,190626.5,188749.53,189322.31,189672.39,189553.31,190851.72,188132.78,190009.25,187372.19
203363.52,192139.84,196919.48,193341.69,185358.6,183868.62,185236.47,177687.64,186076.47,187480.78,186544.08,186913.28,187806.34,189346.62,191854.19,190943.97,190952.03,189674.22,192146.3,190917.27,190283.02,189321.22
200255.94,197791.28,198823.1,191080.27,180914.53,183130.17,186832.03,185108.27,186225.84,183952.5,184194.5,186738.36,191160.1,191103.75,187707.9,189393.66,189903.44,191504.34,187475.95,190776.4,189783.84,187398.97
201619.58,194963.28,199083.88,191277.5,183827.7,183558.69,183897.97,181129.0,184127.33,183350.16,184120.72,188747.73,189707.72,185530.23,187378.97,188584.22,190333.62,189737.66,187900.56,189243.12,187721.67,189432.6
200451.6,194075.94,197567.16,191266.77,184946.2,184641.14,184041.22,181113.66,181788.33,182350.81,188057.12,185379.94,187970.22,187288.47,191817.02,193048.4,188264.19,186881.14,189417.06,188260.16,193096.25,187180.6
205270.27,197430.75,200668.23,191673.02,184466.1,184942.19,186117.28,184723.25,188491.56,181702.6,184347.19,189833.62,191241.97,187121.19,192854.78,189861.6,190841.98,187084.0,186892.94,191544.98,189619.02,185825.9
199770.25,195070.03,199314.86,190353.88,184727.06,181885.14,180393.39,181684.81,184926.02,188119.62,185859.22,187585.62,191415.62,190437.25,187651.31,191715.78,188255.44,189015.19,187171.03,189649.84,187429.47,191339.84
202751.56,193616.61,193302.53,194451.6,183678.81,182094.4,183865.2,186303.47,188280.5,181940.67,185282.55,192457.22,191802.48,191488.31,190484.8,192079.1,189135.1,187593.31,189918.78,186694.17,189601.4,187095.98
201280.47,195621.78,197331.16,190489.12,183829.1,183407.4,180935.67,186600.97,185289.5,183220.38,184146.38,184532.03,189731.16,190543.64,186363.81,193948.94,188151.84,191437.12,188474.89,189382.1,188568.22,187671.03
204510.66,195649.1,195571.03,191888.75,185705.17,184664.89,184052.16,184027.69,186673.64,184919.53,184975.4,186514.17,186550.22,187677.6,191721.25,189638.72,188573.34,188660.45,187967.66,190631.1,191773.52,187665.52
204466.55,197729.48,198553.36,193966.38,180856.0,183295.2,184329.81,183661.0,182708.69,186875.48,185588.4,185388.81,189861.53,189143.89,188025.98,189447.19,190100.62,192411.4,189280.84,186783.75,189250.95,187260.0
205739.0,195105.4,197316.97,193750.6,185390.6,184960.1,185036.75,182829.64,185396.0,186418.9,186331.19,190118.2,191005.72,187890.19,188968.44,193036.39,189132.6,186981.81,187141.98,191014.06,187041.16,187152.62
199942.22,193563.81,196949.31,192071.31,185188.0,183229.84,185056.34,181518.42,186693.4,187996.81,188697.05,187910.61,188937.58,191903.9,187128.44,189306.44,188017.6,189098.03,189768.84,191056.05,191938.84,187571.22
200644.03,195576.47,198837.94,193462.19,181122.94,185454.14,180598.55,184486.4,188435.89,185557.3,184097.81,182238.12,187264.89,187880.98,189256.0,191048.62,189204.36,187544.81,189531.16,191442.81,190984.23,187762.11
202166.98,196596.77,194162.86,190501.78,178349.16,186632.16,184060.61,183304.98,187440.38,186748.94,188495.78,185753.44,186725.03,187335.38,189043.97,192727.8,183543.08,189249.62,192004.5,194424.9,188981.25,188522.6
205907.9,196764.19,198701.17,193062.44,188263.22,185839.12,184429.25,183237.6,184128.19,184473.28,186572.84,187915.2,188786.61,186405.25,190009.28,189539.88,186724.9,188720.53,187958.7,190220.69,189255.6,190902.62
204601.44,195376.78,197413.19,190238.84,184901.25,185411.69,185466.47,182877.12,187638.0,183809.61,183502.98,182075.02,188866.25,187906.12,187974.98,191541.69,186981.92,189376.38,186293.69,187887.12,188009.38,189688.12
197331.12,195473.0,197023.56,193428.95,184193.64,182224.4,186048.97,181826.34,185348.78,186256.19,186587.69,186417.23,192835.73,186727.56,187650.66,188653.38,188223.69,190916.92,189056.72,190060.97,188013.83,187785.2
202134.03,193131.03,199466.98,193450.5,184337.19,184764.77,186389.48,183191.34,184562.9,190931.81,185301.44,182616.08,187734.56,192625.61,192645.88,191288.62,189453.31,187584.17,188594.61,188109.1,191143.08,188229.72
204452.5,198199.67,198596.44,193758.66,186656.56,182339.47,184583.25,184048.19,182789.84,183708.75,186586.34,186493.28,186337.89,190357.62,192196.56,190223.72,191934.5,186776.8,188041.7,186928.9,187775.47,189340.28
203348.39,194722.44,197092.28,191225.02,182529.25,183243.1,182009.22,179442.4,184660.64,184455.9,184524.84,187868.11,188306.16,189521.44,189225.78,189053.2,191119.94,191059.11,188079.66,188176.27,189904.03,185246.45
201246.62,194132.06,197694.19,191526.61,184458.88,186331.0,183985.62,180509.64,183516.5,184140.33,187641.97,186310.25,189836.05,189176.53,184623.6,188756.03,188049.97,188198.2,190788.77,188453.97,191612.0,186498.4
204582.5,196290.56,196834.92,191664.3,186685.55,181510.12,182436.9,184210.08,188767.7,184464.25,185472.03,188086.84,188766.94,188600.86,185166.31,188336.69,188617.77,190122.5,189779.25,191397.11,189856.67,187754.9
202672.62,195823.31,198603.16,192908.94,184982.31,183840.17,184671.34,182816.53,182417.86,186476.47,187198.03,188007.97,188349.28,188769.06,187663.23,191517.25,188649.0,188745.6,190561.1,186762.31,190187.62,186564.75
204330.19,195718.58,199732.48,192458.36,182599.75,184923.19,183209.16,183412.5,188075.84,187492.6,187289.6,187532.47,190789.62,189528.6,190223.22,190159.58,185076.38,184738.83,188850.89,189326.95,186386.56,187571.42
202825.28,192924.47,195813.1,197006.4,184613.34,182759.48,181951.69,182593.94,185063.38,188532.75,186677.1,185805.83,187255.03,189316.97,189369.02,192052.17,188934.16,188239.84,189609.66,190632.6,191674.16,186477.69
201684.52,195693.53,198524.2,188988.98,185260.75,183697.64,184367.33,185323.73,181841.2,185394.12,184414.5,190477.98,185886.58,185601.4,187845.23,189308.03,187749.58,186905.84,187765.17,189115.1,190687.05,186368.1
204431.56,196099.25,199161.16,194270.28,185009.03,181795.97,184397.28,183398.69,184472.67,184818.06,188792.9,186504.78,186078.97,186462.23,189636.06,191321.45,187759.28,189046.7,191687.81,188392.14,190069.33,188808.12
202023.0,197119.25,201136.56,192008.4,184408.44,183879.08,186560.22,184032.0,183819.72,184735.84,186830.12,186278.23,186858.28,187006.3,189742.2,190783.36,189632.25,186141.72,191537.25,194142.72,189294.69,187295.38
201964.72,197032.19,198355.39,191483.06,183823.9,183180.34,183732.56,183550.1,183805.45,189735.66,185819.5,185030.69,190438.0,188473.44,190178.66,189602.98,190428.12,188700.08,190454.17,189699.12,189276.1,187081.03
