Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19
181896.84,180933.1,184527.19,182423.31,187540.06,184917.6,183109.3,184261.69,187767.3,187149.22,182952.47,187753.58,183987.77,191073.28,187365.19,189693.6,190653.42,197281.64,204426.5,200792.38
182864.78,180484.0,181893.58,186141.0,184808.66,185275.05,181422.28,187364.34,187864.4,189325.94,188464.0,186217.22,189811.4,184047.02,190510.34,189013.97,188287.1,197881.47,203089.17,202116.1
187567.92,183129.84,182052.78,184246.25,181252.81,186205.97,187005.92,185930.11,182843.69,188485.0,184610.72,185244.02,191136.25,188979.56,186943.73,188909.39,193753.02,198892.52,199660.56,200217.53
183247.31,185762.72,182393.31,179329.66,182487.3,182539.72,183138.6,185693.88,181843.06,186371.69,182135.22,190573.62,187404.1,190393.72,188167.06,185472.34,191914.34,197777.22,198547.06,204218.25
181090.03,185671.25,178372.69,183391.03,184126.4,183954.4,183752.12,181385.98,184517.56,189595.03,187363.78,185794.17,186881.98,183510.9,184404.7,191325.81,194737.12,194335.47,199101.9,202764.5
181474.25,185026.0,182658.22,185990.58,183658.58,183171.1,186177.16,186508.64,186981.9,185082.16,188190.16,188414.75,185719.03,184653.31,188061.9,189253.88,189962.03,194148.25,199071.38,202740.88
186055.72,183330.52,184838.75,183541.72,184511.16,186147.89,185569.34,189235.02,185261.22,184953.72,187878.1,186791.45,189683.02,188423.9,190748.94,189346.06,188510.58,197519.4,200862.6,202174.83
183278.72,179744.75,189272.97,185779.28,181819.9,186412.5,183513.22,186144.78,186756.38,187403.92,185944.81,185511.53,187447.12,186722.62,190104.28,193885.4,192570.94,198245.12,201603.97,203826.97
182673.02,181465.06,181362.5,183669.22,183817.9,186753.11,184030.6,183616.34,186557.5,185047.9,187281.84,187039.66,190348.67,187807.17,188441.16,190388.78,190866.31,195666.47,200873.73,205946.0
181490.83,183195.47,182089.38,184570.84,182733.05,186920.9,181707.6,188948.03,183263.62,186536.03,185766.44,184041.58,187748.67,190353.72,188183.25,187599.16,194290.3,198930.28,199955.34,202952.72
181900.77,181743.45,182112.78,185212.47,182585.97,185414.6,188105.14,186643.66,187688.16,182625.56,183512.03,186154.33,189754.27,189149.27,189453.84,193965.69,192360.16,196593.58,202417.53,202647.08
182869.7,181995.34,182065.94,181962.52,185414.62,188421.84,183689.81,186624.62,185726.97,186677.44,184850.92,186007.52,188515.64,190584.92,193195.06,190784.48,190993.5,196069.03,198929.06,205242.12
181702.12,185938.78,185628.4,183402.56,183347.34,181889.56,183200.08,180876.58,185983.4,184127.55,184746.72,180868.47,190631.28,189732.28,188629.53,190095.6,192176.05,197728.05,196977.75,202398.1
