Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
202310.7,183910.92,181268.72,182600.88,182227.84,177974.06,178183.22,176886.89,177029.08,178379.78,180204.4,178251.4,181173.38,181607.55,179903.5,181045.64,179215.36,179479.6,180131.0,181515.75,178956.86,182847.31
202302.6,183208.72,182567.4,179355.3,178582.56,176412.05,178287.97,181852.08,176913.81,179607.81,182297.25,181150.45,181302.27,181689.17,182500.9,178624.14,180461.06,182021.52,180472.08,183736.81,184170.52,180947.25
203363.52,186346.77,184170.22,183285.72,181590.06,178678.19,177463.6,179926.25,179759.97,181650.81,178772.9,179097.25,181345.53,181798.0,179007.5,180473.22,181937.45,181820.83,182266.1,181317.47,183089.9,177192.0
200255.94,185000.78,183808.78,179586.47,176922.27,179841.75,174117.48,177331.72,177429.98,177230.0,180860.31,179027.58,180535.62,181259.8,180920.84,179958.19,180301.78,182989.12,183434.81,182572.42,184835.9,179140.5
201619.58,181830.28,186270.44,180652.84,178525.27,181320.42,181053.39,176433.11,178899.12,179537.47,177862.22,180024.73,182363.64,183203.73,182193.73,181613.31,182486.34,183559.6,184309.56,184421.19,183520.05,179903.66
200451.6,183255.5,179483.88,180801.72,179159.97,176074.03,175117.08,176831.4,177618.22,177995.55,177569.34,178256.44,180890.03,182994.25,178406.88,179654.9,180317.12,179852.7,182680.16,182140.06,183450.56,177107.28
205270.27,180338.66,182926.05,182014.11,181446.34,178312.2,177454.62,177869.16,178456.66,178937.05,179081.62,178378.73,184089.88,178368.84,179919.97,179630.3,182052.52,183691.38,181920.92,183757.12,181371.22,183425.28
199770.25,181015.03,182370.86,184454.75,178874.69,173406.7,178747.97,174870.75,177494.12,179663.34,182020.72,176842.12,181123.75,181529.9,181387.62,179769.44,182945.67,182702.48,182090.64,179857.1,184682.25,178285.56
202751.56,184098.66,182958.48,184050.47,184675.44,179051.03,178485.22,177587.08,177279.9,180769.38,182678.81,178878.53,183172.22,178914.31,181032.23,180700.88,184256.48,178852.4,183624.88,185056.05,182132.5,180546.4
201280.47,181848.9,182204.94,182151.02,181500.08,177441.56,177434.02,175678.38,177441.27,181260.97,179622.44,180596.84,180544.03,183620.23,178563.06,181848.1,181537.75,180419.03,179302.72,182332.78,182187.78,180225.86
