Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
199315.58,184878.88,184932.22,186340.86,184545.1,185483.38,186039.06,180843.56,179907.39,175348.17,174922.28,177961.9,174896.31,172621.5,176886.97,177793.0,176748.5,177541.0,177565.95,181578.84,178771.38,180349.66
198062.38,184754.06,183600.38,186078.86,186039.56,185877.97,182346.88,177575.94,180205.56,178198.66,175150.0,177435.45,176284.75,173177.53,176232.84,176624.9,177586.28,175456.4,177823.25,180462.8,178485.12,178802.83
197543.67,182541.69,184176.67,181646.78,183455.44,184091.53,183717.16,178802.44,179017.34,175857.34,175968.0,177758.72,175315.53,177420.03,177943.89,179160.97,177515.06,177664.84,173511.67,180512.69,179225.12,178943.1
197028.25,181307.88,183702.06,184214.34,183763.62,186844.73,182562.5,182157.44,178798.45,179022.77,179216.34,176062.42,175548.53,176047.92,171473.53,177472.69,180587.14,176198.19,176179.9,176853.81,178590.56,178594.6
199223.8,181793.03,184865.89,186453.58,182644.66,182945.55,183802.78,178318.5,178787.02,179708.44,176406.81,177160.27,174281.69,174399.86,178436.34,178415.33,177444.25,174730.22,178517.69,176987.44,178977.22,178368.25
196062.88,182791.12,184297.94,183244.03,180830.72,183356.22,181252.36,180742.1,180591.3,178982.4,176512.14,176304.66,177313.9,175691.47,175004.89,174888.64,175412.03,178158.89,174185.45,182496.56,182349.75,179767.03
196467.02,180026.84,180878.72,184347.42,183803.72,184515.47,181750.95,178337.77,177010.9,178539.1,174221.75,175983.08,171393.27,173299.4,173238.45,173105.72,178044.16,175051.1,178652.47,177909.98,179629.22,174877.23
196934.34,182144.28,183490.48,186031.06,183976.95,183122.19,184445.75,180626.72,181335.19,179870.72,173413.6,172087.38,174673.88,175492.44,175188.4,173154.36,178380.97,176841.38,175602.05,177415.6,178518.45,177908.22
199559.84,178753.98,184309.31,185602.98,183198.67,183722.5,185274.14,181003.56,177020.81,178424.53,180624.47,174700.17,175726.4,176528.3,173731.48,174529.66,175740.44,179722.4,175574.12,179672.61,179594.31,175597.92
198692.75,179060.19,186563.95,184353.23,184918.19,186581.62,183451.83,179354.67,179945.34,176024.84,171698.56,177691.94,178372.22,173247.84,172315.53,174752.22,175954.88,176810.78,172928.47,177036.73,177864.97,176036.53
195626.38,182375.86,185166.66,189033.06,183183.2,185897.52,183377.58,179826.38,183301.39,180789.73,175688.55,175721.78,175971.4,173746.7,175978.94,175925.5,175481.62,175215.34,173606.58,178989.9,179225.97,178893.69
198292.39,182092.7,187029.88,185913.78,184731.77,183767.64,184129.88,182168.06,182407.66,179751.77,177460.34,174498.0,174277.66,174952.8,174382.66,177766.56,179732.47,176386.62,176603.19,174879.28,178677.38,177688.53
198693.14,178639.03,185340.44,182739.78,182149.0,182791.88,186956.22,180790.22,178213.97,178851.19,175898.61,171400.97,172936.42,176607.34,179696.42,177590.33,175317.02,177436.53,176802.14,177360.72,181697.25,175124.08
195248.69,183774.75,183321.02,184917.1,184713.98,183840.66,183919.95,181899.16,177770.6,176778.38,176337.0,175859.5,176060.81,178590.06,174189.31,173940.62,179575.25,177625.84,177136.06,179261.75,179896.4,180575.69
196460.9,185076.81,184922.86,185855.78,182041.75,184105.06,182189.23,180441.27,179316.78,180853.05,176076.12,176165.55,175635.53,172317.66,176090.73,176193.39,179709.06,174946.97,177150.9,180152.11,180220.6,180326.22
195818.95,183969.0,181859.97,186205.5,183289.39,186189.53,183075.31,183081.34,180142.56,174884.08,176213.98,175415.81,177018.56,175620.25,176067.94,175580.22,178045.27,179370.69,176100.4,180310.6,181805.5,178056.14
196192.97,181935.17,180510.6,184976.62,185720.9,184655.11,184131.66,178007.56,178731.72,178009.4,177211.33,174321.53,175532.06,172720.25,175241.19,174297.0,174989.44,176939.47,177003.48,175126.39,178397.44,176162.16
197004.4,179595.66,183297.52,184577.25,183321.62,187846.05,183908.72,181134.72,179779.3,175802.7,175961.97,176152.56,176360.75,173323.5,173939.94,175117.9,177637.8,174852.12,176205.6,176928.36,177178.25,176254.75
197605.9,183672.25,185405.28,181986.72,184506.1,183939.84,180959.52,180449.92,181402.52,183635.98,174296.17,174116.31,174148.03,172967.81,178742.5,179958.73,180612.72,177301.72,178679.12,178467.97,179846.69,181640.4
194294.5,182796.16,182507.22,182970.1,186294.88,183670.27,181551.48,176293.34,177986.36,174860.58,176012.19,176467.88,175079.31,176985.81,177342.6,176188.78,180454.5,173652.38,176967.88,176809.9,176430.83,180968.34
193815.22,181272.4,183958.4,183872.52,182305.5,185668.31,182470.05,178861.25,182953.64,179257.03,177671.34,175275.38,172014.47,173465.66,175636.0,174071.25,177772.81,176633.38,175446.86,176239.81,180655.34,181829.1
196775.88,177873.69,186097.62,183536.31,186366.86,186028.11,182188.1,180325.56,176526.81,176769.94,177175.62,176568.6,173275.06,172553.55,173997.28,176216.2,177300.95,177373.39,176416.45,176612.16,177365.86,178408.56
195436.77,181856.31,184429.47,185325.5,184100.75,186064.94,184866.22,181194.61,180368.78,178763.53,177099.06,175020.66,175074.81,175459.75,175678.34,174147.28,175719.31,176134.9,178311.62,178383.11,180363.16,177717.12
198493.4,182000.1,182780.31,182277.9,184962.28,186997.67,178898.61,181688.47,179173.53,176690.92,172099.5,175031.84,176242.0,173142.6,177784.19,176419.03,173525.02,176163.81,174386.95,179787.77,179351.0,179332.08
194223.34,184590.75,183431.39,185373.44,186280.12,182082.9,180464.6,179401.8,181476.64,177375.89,174864.56,176107.38,174011.4,175510.75,173954.31,174578.38,177887.1,180081.34,175870.08,181071.58,180397.25,176849.84
198871.9,181617.88,182489.06,186384.05,182566.73,183140.67,185125.28,182064.1,181719.78,174010.56,173887.69,173965.92,173718.48,173506.17,174233.28,175042.78,180867.86,176130.0,176812.33,178366.22,178699.16,177695.31
195845.42,180363.6,182138.97,184629.23,184929.6,186077.03,181553.22,177480.31,178098.62,174853.44,174111.5,174685.8,173216.66,174919.6,172097.55,177145.0,177540.1,175595.1,174910.38,177384.38,176813.39,179418.62
196348.78,179017.06,186031.84,184685.33,185710.44,185790.5,182513.56,176831.72,177920.72,176374.0,176213.98,176494.95,176037.03,174177.42,177721.31,174954.22,174271.33,176994.55,178630.75,178136.0,176862.03,177259.34
198439.16,182109.4,185016.88,186402.19,180911.25,185242.6,184058.31,180534.81,178640.77,179299.34,175559.12,175922.97,173634.48,173918.69,174383.72,175483.9,174842.06,178052.28,176806.56,177207.78,181341.22,179964.42
200768.56,181223.02,183305.03,181878.6,184066.2,186060.66,185920.84,180718.78,178926.28,177558.53,177011.02,180423.97,175517.58,175625.58,173318.5,177699.1,176159.25,177117.34,177616.62,178007.66,181711.73,177356.94
196512.19,182532.42,184820.78,184947.58,182665.34,186169.61,182325.34,180936.3,178292.17,183047.36,177361.66,175660.06,176013.75,175298.47,177999.75,175059.12,174398.52,176362.44,176490.03,179593.72,179259.34,175763.67
198323.44,180770.28,182242.67,182967.6,183480.5,188043.16,182875.12,182494.84,178978.98,176909.03,176075.66,177888.22,174950.55,178084.28,173484.27,173775.95,177047.31,179805.75,177335.28,179614.03,182788.47,176042.5
198583.39,180474.28,184774.94,183412.56,183258.56,186300.1,181449.16,179437.58,177852.27,181458.0,177514.25,174974.56,177792.66,174329.53,173892.0,176441.5,177155.81,179316.5,175852.19,176665.23,179719.72,179239.52
196269.56,183194.62,185974.28,188920.36,181437.7,186004.34,181000.69,181531.17,179669.88,178705.38,175414.17,173907.11,174815.44,176674.8,173075.78,175399.44,180098.78,181601.94,177451.03,181536.45,177069.47,176867.62
197878.28,184175.53,180573.84,184198.0,180465.14,187428.4,185298.55,179243.4,177618.62,181272.4,177813.42,176785.88,179062.56,173742.53,172382.94,180354.06,179117.53,176733.56,175074.9,178096.97,174223.9,179336.05
196733.62,183752.84,183885.52,184686.72,184654.38,187724.16,182863.33,180478.16,181174.52,182099.19,175571.47,178260.34,172737.14,173434.6,173828.81,178298.89,176189.4,178470.8,175629.78,179469.94,179037.27,180021.81
195758.4,184880.88,184698.84,185300.67,185321.38,186754.95,179708.53,180490.44,179636.5,177186.17,175108.27,176164.75,172675.5,177050.27,174039.05,172547.42,175554.6,176249.66,172855.28,178757.9,181012.25,173809.22
197091.58,183193.94,185225.73,183592.84,184079.45,184877.19,181191.16,179196.1,181301.22,179041.23,176734.72,176836.78,173363.5,173127.27,175735.25,176524.16,179530.25,177701.81,174040.1,180304.31,179138.78,176444.31
196586.48,184962.69,181941.47,182367.17,186746.66,186570.4,181652.36,180147.53,180235.47,180645.31,176153.5,178939.03,177202.0,175183.38,177847.48,174660.28,179410.4,176002.52,177706.53,178151.81,180934.05,178134.9
195669.97,181954.38,181427.8,182624.34,182778.94,184587.27,184726.1,179366.34,176876.2,182109.25,180385.12,172815.12,176086.78,175729.78,176952.84,175627.4,177829.69,177367.75,174400.33,176669.1,178956.9,181557.22
200402.86,182637.6,186459.4,184313.72,184773.36,182882.72,183661.75,184125.9,180328.34,176981.81,175041.19,180327.47,173699.02,177802.12,175009.25,172420.81,177385.28,176926.9,172615.1,177436.06,176434.25,177946.75
195211.4,184295.66,182600.45,186601.28,181829.03,184430.03,179848.9,178177.9,178108.28,178836.33,175039.16,172902.03,171375.44,174166.38,174893.55,175457.56,180218.4,174551.72,179126.52,178711.25,175315.75,176743.19
195521.2,185815.69,182135.28,186608.53,184876.9,185585.78,182453.5,179229.84,179446.28,177995.89,175546.23,174926.56,175014.33,176530.16,176266.47,175831.14,175134.66,176369.86,172484.1,176209.7,178969.47,177044.64
196855.72,180243.53,188180.0,185159.47,181386.31,182177.9,179960.03,181370.28,179115.12,176476.16,171723.08,174359.97,174972.64,171988.0,173999.9,176275.81,173929.6,178543.75,175033.6,177218.56,178596.0,176600.53
196947.62,179837.61,181915.03,184720.78,184590.97,184566.69,183692.9,182021.38,178126.88,178961.6,177726.33,176959.66,175186.34,175042.86,175071.28,173022.67,173995.16,176769.58,174834.56,177983.88,180637.5,178527.44
196751.14,186111.31,184185.88,182790.53,182948.17,186553.55,181460.73,180639.36,179954.9,175886.44,175546.12,173917.33,173868.22,171296.67,174410.81,171373.22,177965.22,175073.06,174892.16,179415.61,179762.61,182312.75
198701.03,182916.56,185467.88,184695.94,183995.25,186371.67,177946.81,179945.72,178864.72,175554.84,177011.53,174336.56,174993.6,175116.34,178049.56,174220.75,175117.23,177721.28,174665.4,176172.47,178308.34,179370.6
193144.4,179965.38,183574.28,186474.53,182274.98,185321.53,181493.16,183615.03,181267.81,177131.12,179027.69,180296.23,175357.5,175958.12,175711.47,177164.73,175418.73,178836.78,180957.67,177643.6,181109.6,176325.45
197280.89,181645.5,184640.9,186073.5,181256.25,185883.72,182538.16,182024.45,178822.78,177874.75,176198.53,171800.16,174322.14,177011.08,172501.4,175620.81,177806.84,178905.44,176362.14,174238.89,177762.92,181485.97
192860.19,183042.38,182046.14,184372.28,181088.88,183890.66,180362.75,178933.84,180449.31,181760.5,173535.03,175429.97,174388.44,176763.2,176165.97,173846.12,177856.62,175207.77,171126.83,179265.27,178437.45,180071.38
