Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19
165009.47,163672.83,166215.19,170574.75,170083.06,169223.73,172818.66,171980.66,170328.97,175464.12,174199.69,176951.62,178964.0,176384.28,179449.84,180237.69,181825.5,194181.11,197415.77,200792.38
165111.84,158586.53,162163.83,165831.19,162700.52,165396.1,172642.27,169885.78,175916.47,176380.03,168960.08,175373.44,180001.48,181028.42,179663.22,178895.12,185443.78,196442.12,199979.69,202116.1
165725.67,164459.69,164071.25,164223.95,168548.72,167218.31,170219.95,170364.9,168116.0,174414.56,175190.88,175331.69,179053.5,182090.83,179354.97,179886.19,188103.62,194014.94,199326.56,200217.53
162598.34,164569.3,163429.81,170162.23,168810.25,168027.52,166078.88,173813.22,170027.38,169506.6,173442.56,175574.52,174556.62,181320.4,178063.22,180038.52,185484.0,194860.16,199324.02,204218.25
165986.25,171011.97,163824.28,168993.64,168559.38,162578.61,170790.17,174438.16,168725.95,172430.53,174865.11,174794.31,174850.53,179550.84,180290.84,182107.28,181573.89,194114.97,202682.25,202764.5
161940.69,165877.25,163992.69,165269.2,169415.69,168855.36,170474.98,167015.88,173242.88,169555.12,174836.34,175189.94,175724.2,177378.72,180534.7,184825.6,185899.08,194697.12,200509.44,202740.88
167524.19,161000.62,166066.9,168255.34,169736.81,168115.53,170962.89,171598.19,169717.86,172326.6,175672.62,176466.31,177201.27,181292.38,183894.03,181775.28,183649.66,194558.3,202973.34,202174.83
160972.72,167137.25,162342.44,165337.81,168164.86,170448.52,173354.72,169250.69,172404.84,171866.6,174120.9,175913.55,178285.31,176868.03,180545.2,180592.33,188100.36,198512.81,197612.61,203826.97
167716.47,167491.69,166022.14,166712.16,164309.19,166104.97,171130.12,172153.56,174924.98,175067.78,172422.38,176529.73,176881.1,177795.69,180144.72,184847.03,186307.19,197163.34,200608.66,205946.0
163216.23,160889.22,161002.64,167288.78,165746.1,168532.6,168662.16,169613.75,170552.38,171447.6,175370.08,174024.1,178015.9,184392.27,182159.64,178400.0,184039.02,194950.36,200406.75,202952.72
164415.3,160264.45,168300.05,162484.78,169243.12,173605.94,172733.28,168596.55,175428.31,172969.88,174639.47,173445.03,175993.67,180857.38,175505.19,179182.06,184717.11,194539.5,201340.88,202647.08
163857.47,162331.5,167013.19,170966.97,170493.28,170266.89,170916.33,172182.31,173212.45,174876.5,171584.0,175494.03,177418.31,180309.34,182136.72,181061.75,180318.19,195092.2,197976.33,205242.12
166394.19,166875.67,167924.1,167162.17,166032.5,171733.56,169553.67,171891.7,171300.62,170254.97,176685.66,174163.62,177686.22,177760.19,182466.78,180582.75,182392.52,193876.56,198646.36,202398.1
160464.62,164290.34,164720.56,164675.9,170765.84,170137.12,171069.0,175169.31,174998.56,174241.86,174861.98,174741.62,175457.6,176452.17,178616.88,179255.12,186018.1,196414.58,199985.34,202623.36
162235.98,168477.53,165453.8,165756.69,167113.27,170115.28,171374.03,169559.77,167005.97,169864.03,175250.94,178840.77,176365.11,177198.98,179671.7,182929.25,185672.69,195403.48,201609.48,204620.75
166905.23,165202.94,164098.12,167349.78,164652.53,168020.12,166410.0,170685.17,171804.38,174991.19,178237.48,173780.88,177784.88,178234.31,181510.97,181824.03,185983.2,192881.0,203293.4,204099.95
163680.44,163352.45,163795.75,166941.0,166435.16,166371.97,168309.19,171192.6,175109.62,173508.6,176126.28,171295.38,174576.11,178597.88,177384.97,182654.44,184007.84,198857.28,201187.78,203386.34
161858.94,164604.39,167270.72,167669.06,165147.25,163750.47,166908.44,171616.94,175265.8,174911.16,175451.22,171016.2,174620.66,179671.58,179411.47,183819.22,185151.97,192939.78,197170.06,206370.92
162987.4,161948.28,165160.19,167240.69,169410.12,169169.52,168273.19,173270.67,172527.72,168595.75,174898.1,176910.4,178184.36,181166.64,183029.02,182782.72,186365.69,195482.6,200976.81,201181.08
162441.9,161973.47,166155.83,163263.84,166333.11,166863.64,167363.47,166940.84,169605.03,172370.94,174239.53,176006.88,177545.16,179817.53,179233.33,180007.47,182401.16,193446.28,199322.69,203792.8
163389.6,161367.81,167461.08,167045.9,169096.38,169594.16,164392.94,169592.12,171752.19,172531.34,177106.75,175555.6,179662.81,181876.06,179875.75,183987.9,187592.25,197056.72,198719.67,203074.22
