Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
202310.7,189427.88,193108.81,194046.56,197970.95,199985.12,198912.19,196269.62,194972.56,197003.56,194922.73,189534.06,182132.47,176663.16,178125.0,179381.19,177228.88,174961.53,177147.05,178017.88,175759.12,175831.08
202302.6,188764.19,190429.78,194548.84,195634.38,196669.94,198857.36,196046.38,198491.25,193879.16,192121.16,187883.19,185559.1,178186.9,177700.47,178378.38,174901.44,177903.34,173658.75,176795.38,177700.3,172346.33
203363.52,187385.69,191647.34,193265.53,197339.06,197907.7,201377.75,193379.11,196276.42,194323.78,190342.19,188430.84,185968.69,177600.88,181618.12,175391.53,175865.95,176383.19,181108.62,176057.9,179139.34,177646.89
200255.94,188425.56,188920.22,194763.77,197228.69,199095.19,198910.6,194731.81,196666.06,193007.72,188245.25,188712.22,182645.44,182844.47,179604.77,176118.39,175969.72,180516.72,173586.62,177822.62,178338.11,173874.19
201619.58,188228.56,191461.56,192439.1,196683.16,196750.56,198366.98,196281.0,198465.75,197025.0,187807.25,186318.0,182438.38,180081.36,178978.64,172738.28,176162.19,173896.89,174410.12,179109.53,180425.5,178615.38
200451.6,188302.53,187923.12,192745.73,196186.11,196955.03,198939.9,193975.97,193465.4,194098.28,192419.19,187383.9,184236.88,181017.22,178195.03,175446.08,173784.94,177451.66,178063.53,178853.31,178638.97,178280.28
205270.27,190884.36,187469.31,195962.94,200347.62,198851.25,198687.25,196221.52,195968.81,192521.53,189236.47,188518.02,184362.38,180292.23,177239.06,176140.53,172593.56,174876.5,179701.11,177180.66,175443.3,178518.19
199770.25,188097.81,192066.72,194448.1,197703.06,196136.14,201333.22,194369.97,197286.22,195330.81,192996.28,189176.34,182261.72,179192.3,176797.47,179277.38,175934.4,176189.97,180629.38,177453.9,178602.03,181832.75
202751.56,188547.73,192831.11,195062.12,196744.14,196755.17,196458.9,196020.44,199865.69,191959.45,189651.16,189632.69,182965.84,181717.7,176564.06,174051.61,176906.36,176134.72,177423.9,181040.28,181649.38,177452.03
201280.47,190085.56,188490.28,195632.6,201142.88,195379.1,196998.6,196392.33,197471.61,194742.4,189366.47,185370.19,188285.34,180937.05,176598.52,172984.95,173387.81,178028.38,175964.61,176840.6,175722.03,176174.81
204510.66,190788.88,192012.17,193394.9,199590.0,200698.89,198319.23,194404.27,198323.94,192955.81,187172.08,190651.92,188557.55,178627.1,177993.06,175757.89,178586.94,176506.03,175866.12,175891.72,174437.05,178904.75
204466.55,190690.25,188345.06,192330.33,198510.36,195797.86,197601.4,196546.78,197688.83,194254.66,189848.53,190631.75,180810.6,180512.19,175561.9,176348.5,175050.31,174425.36,175627.4,174913.84,178092.9,176616.19
205739.0,189632.27,190085.0,194392.27,196399.22,196139.47,199368.92,196720.22,194401.78,190326.55,191430.6,184049.97,181535.03,178038.9,180248.6,179731.19,175183.88,177004.34,177545.17,177149.6,178969.48,178066.69
199942.22,189475.94,189569.16,193854.06,198114.06,197227.77,201064.0,194784.84,196879.95,194302.19,187046.81,191680.28,184682.84,179982.1,181350.64,176684.23,178186.75,173550.25,174615.86,178177.84,173881.38,175922.34
200644.03,187406.2,193187.47,198225.98,194774.72,195395.19,198766.38,196153.6,195613.39,193467.56,189842.5,186694.64,184135.92,173247.48,176902.6,175943.8,177050.44,178108.19,176365.08,179053.66,180485.61,174726.12
202166.98,187725.05,188762.1,193220.31,195589.9,197029.73,199287.1,197811.84,199234.16,191484.06,189784.38,184808.94,182598.06,180550.06,177309.48,177510.78,179880.78,177090.03,174212.03,176020.5,176717.94,173437.81
205907.9,190746.0,186725.72,194117.48,196593.28,199294.34,196418.4,196185.4,196369.97,191594.22,191612.75,189676.31,184652.55,178194.33,179694.75,171559.28,179383.47,174527.34,176180.17,179190.25,181357.44,177736.61
204601.44,187991.38,189411.98,196227.69,197829.1,196957.78,198361.5,197293.42,195584.28,191686.73,188868.22,185806.6,182004.6,176251.94,175733.72,176823.08,176199.28,178940.28,176880.66,175060.81,178637.69,180831.81
197331.12,193697.78,186856.38,194364.69,196918.56,196074.66,200454.9,197435.92,199476.22,194034.06,193705.03,186852.84,184217.22,178834.0,175677.16,179271.03,177751.4,175757.16,175362.1,179541.53,177826.86,177600.5
202134.03,186833.97,189955.94,196003.8,195961.19,197906.88,202535.69,197833.28,194386.67,192323.78,189995.75,184966.28,183263.19,180203.69,179519.53,175577.72,179132.38,174220.39,174195.56,178344.6,173907.5,175844.38
204452.5,187039.67,192385.7,193189.66,196351.34,196733.66,197700.3,195580.19,199466.84,193967.45,186821.84,187862.88,185733.97,178367.9,175095.78,174229.36,180418.4,170965.38,178824.89,177741.22,175178.84,178859.88
203348.39,187697.38,190815.36,190441.12,197656.97,194492.72,197917.66,193216.81,198188.25,194503.38,188230.12,187408.92,186666.06,177714.6,180651.56,175345.97,178462.31,176272.56,175779.72,178048.06,178711.75,177816.88
201246.62,188012.6,191300.81,193960.36,195883.06,199014.69,198954.34,196953.61,196164.83,194210.89,191285.47,189604.6,181845.78,179396.62,176078.1,178044.1,176318.83,179794.27,172218.9,175736.44,177873.22,178033.03
204582.5,187584.03,188081.62,196383.1,199267.44,197804.14,199818.14,196166.62,195969.77,190945.98,190083.81,188800.38,185475.62,178895.08,175495.78,174338.31,175658.4,176424.31,175175.38,179937.78,178330.19,173550.62
202672.62,190475.11,188539.84,198185.22,199326.47,196888.05,201678.33,196771.62,199865.84,194739.89,187887.16,187311.05,178207.62,182775.9,180540.27,178542.03,178231.25,174899.16,176165.25,177335.53,176386.72,178760.19
204330.19,189335.11,188601.08,192735.61,197284.38,196848.16,197768.25,198289.34,197856.97,191408.61,192860.97,186560.81,184540.3,180052.16,173714.53,175185.31,179369.28,174784.22,174590.75,181086.47,180456.11,173851.92
202825.28,187131.12,190092.66,194750.69,199620.31,199403.4,197187.4,197375.28,198273.75,192887.81,191922.45,190031.44,181014.34,177865.6,178183.84,180024.06,176339.78,176364.16,177937.9,178125.52,173646.5,180906.67
201684.52,190439.47,191492.67,194551.7,196524.42,199617.19,203131.6,195600.69,197398.48,191082.4,191308.47,187617.78,180670.5,178827.0,178762.4,175195.16,174887.78,172154.03,175406.12,178941.28,178113.94,175987.25
204431.56,187092.88,192899.53,195513.34,194994.03,201265.69,198057.92,195180.34,192785.7,193807.2,194497.22,187084.47,186844.1,178825.75,176205.9,176341.06,175863.47,174551.9,179923.34,173741.97,178028.0,177210.5
202023.0,194505.8,188861.0,197667.9,197264.47,198564.25,200642.75,197322.03,197305.27,191853.5,191312.38,190115.19,184366.75,182989.31,177810.47,177192.38,174844.8,175609.58,175739.34,177948.44,179131.25,178242.62
201964.72,191971.25,189823.6,195270.08,198634.12,195649.16,201257.81,198575.78,194199.27,194314.19,190851.25,187797.47,183334.66,183315.3,180024.9,177082.72,178320.39,175801.06,174416.47,177691.56,176000.0,182310.42
203601.6,187202.67,191422.56,193689.78,196480.75,199496.19,200418.66,197228.66,198407.23,193133.0,190387.75,188987.86,182548.31,179041.02,176512.8,174910.0,176765.03,178532.72,176843.0,179155.0,178427.66,176707.38
201353.67,186899.16,190282.78,193779.33,201770.28,198307.16,198676.55,194194.86,192129.06,192170.5,190747.72,188981.94,189275.81,182439.4,178445.83,179691.78,173868.66,172585.5,180564.36,179623.08,177214.36,176437.78
204649.5,189174.08,189190.69,194738.4,200909.17,195666.84,199260.53,198796.97,195919.03,193065.47,190725.84,190430.06,186569.56,180465.25,178338.78,179623.08,173593.67,174501.25,174763.1,173155.62,177807.0,177077.33
202919.86,189278.0,188894.73,197099.5,200208.56,197292.45,199670.03,192866.5,196303.47,193916.06,192673.19,187965.28,180060.8,181520.16,178552.66,178778.31,178607.78,178986.56,175862.9,180102.3,177734.31,176687.0
202795.88,189012.56,191453.1,193450.67,198254.78,196520.9,197653.7,196069.05,199409.84,193755.5,190268.03,188119.66,184353.25,179520.53,178578.44,175685.84,174947.47,177890.03,174316.84,178824.53,175166.86,178925.2
