Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19
171659.53,177126.75,176812.72,176347.81,177180.19,179284.5,177987.75,179025.98,178255.69,178286.34,182858.55,181984.66,184680.05,182216.78,184684.77,184143.6,183635.31,192553.69,201858.27,202116.1
176461.08,176429.31,177587.03,175585.1,176956.2,175544.03,179750.33,183697.17,178449.75,184346.0,177558.4,183438.98,182364.81,184748.52,182224.12,183656.6,184541.89,191736.89,203672.06,202174.83
172434.1,173471.84,176603.4,172570.1,179480.72,180106.17,178981.45,178897.86,176795.72,177292.66,184272.81,181732.55,183518.48,184050.81,180192.31,184283.78,186544.64,194278.53,202403.2,203826.97
177525.22,178268.53,177564.31,182282.72,176649.42,174560.53,178210.22,179003.19,179441.89,178957.27,177446.38,179595.62,181830.14,182855.08,185172.4,181759.47,190222.81,197696.31,200145.78,202647.08
174521.6,173633.47,174245.0,176755.52,175214.05,177466.53,177761.08,181060.12,180081.16,179066.34,177193.81,177558.8,184741.23,183346.12,188763.38,185077.31,186215.88,195097.16,199192.12,205242.12
174562.86,175263.39,176329.06,177158.94,175642.5,175741.12,178562.1,180027.75,179819.78,175403.97,180433.5,180428.4,182799.19,184119.06,185574.64,187305.33,187460.67,193370.92,198369.05,202398.1
176061.25,172938.88,178606.1,177075.31,177706.0,176934.84,179879.17,176849.69,174212.77,176212.44,182446.97,176999.38,182366.22,180327.55,182425.05,183634.47,189521.25,197539.33,200883.31,202623.36
174164.42,180817.23,179619.78,177111.02,176370.6,178960.89,178670.08,179925.2,181906.47,179375.66,179682.84,180906.69,179194.12,183224.0,182708.75,184363.25,186564.2,192332.69,200097.06,204620.75
172421.38,174058.06,178008.31,176610.19,180897.0,179137.72,174488.66,179576.4,180025.38,175974.98,178071.94,181074.53,179139.52,183741.4,183484.73,184981.44,189078.75,193378.9,199618.22,204099.95
179841.56,174436.45,174736.97,177825.16,173278.84,181432.36,177560.97,177192.78,177013.47,181246.47,180678.08,186252.36,182181.19,183166.72,188671.17,183212.77,186832.75,193930.81,197660.06,203386.34
176115.9,174304.12,171533.58,177774.31,174686.31,177058.61,179016.44,178051.31,176595.75,178074.23,179109.5,182924.06,182071.5,183555.5,184933.47,188456.4,186677.97,195778.22,201248.81,206370.92
176710.53,176322.84,180573.39,177978.16,176398.53,177622.77,173450.28,177418.1,177278.97,178448.38,176621.38,180521.44,181416.56,180515.16,181681.0,183734.72,186766.47,193097.7,198480.98,201181.08
174808.84,176121.8,173892.31,175713.9,178045.7,176586.47,179642.42,179661.86,179727.81,180633.88,177322.9,182459.25,184500.03,180421.75,183621.77,181952.69,188825.56,194876.52,200100.19,203792.8
175057.77,178472.52,173281.53,176747.31,175593.69,180372.75,177312.78,176288.98,179050.81,181211.28,181773.4,181733.19,181633.34,184664.44,185029.9,183519.22,188796.03,194428.97,201194.28,200792.38
174919.62,178764.44,174585.97,177070.98,176311.5,179063.28,177100.72,179766.72,179541.38,176785.03,180200.28,185962.31,180584.38,185511.47,185211.34,186171.03,188305.92,194154.03,198461.06,200217.53
176255.83,174428.94,175797.66,177175.75,174856.75,178864.72,178457.53,178481.66,179098.28,178781.12,182254.47,179248.98,181527.06,182973.0,181870.78,185432.38,185836.4,197545.84,201198.12,204218.25
177845.22,174184.06,176021.64,175828.44,177241.56,181166.6,179046.25,179218.08,177167.12,179968.6,179618.97,180925.17,180973.28,183033.94,181271.38,182523.28,185438.28,195127.16,199423.84,202764.5
174396.86,176585.47,177024.44,181395.31,178417.4,176689.28,178140.47,181476.6,178381.52,177872.58,177530.27,181481.19,182962.84,184081.39,185615.5,184830.72,185969.66,197464.08,198714.52,202740.88
171566.0,175616.42,173365.11,175860.75,178838.28,179907.53,179321.86,182340.56,181311.81,184648.38,176382.86,180951.56,180512.19,180811.31,184555.56,184753.6,188277.25,197879.69,199698.97,205946.0
174001.0,177541.5,179317.0,176456.69,177756.34,175220.86,180637.6,178084.62,182334.53,183234.14,182230.12,178953.33,184482.5,183505.92,185059.16,182500.3,186789.66,195189.98,202039.72,202952.72
176064.0,173953.48,177032.97,178417.44,177166.88,176568.97,177483.02,182129.95,179911.94,180181.66,178593.9,178115.78,181452.95,184536.44,184883.28,186364.56,186334.73,197257.06,198416.4,203074.22
177134.4,177744.02,175093.81,180198.5,175676.84,183303.16,177844.75,183547.83,180070.11,175881.72,179412.53,182028.88,185120.66,181456.22,186378.22,183712.25,187411.56,195025.75,200207.4,202084.1
175142.19,179110.83,179339.69,176201.94,174727.75,178120.16,177720.19,176363.19,180037.58,177534.75,176910.95,181368.97,182962.53,186206.52,184856.5,185098.75,187297.47,193184.19,200725.03,202006.31
179726.22,181351.9,175836.17,182204.39,177635.06,178075.69,176449.95,178907.81,177814.75,182625.03,181650.23,180577.34,181866.3,179732.23,182736.39,184030.84,186428.69,197312.19,201533.03,204585.22
176585.75,179163.81,178193.88,175693.83,174588.88,178450.17,178197.66,181059.5,177824.69,176355.19,177130.84,179134.19,184008.12,184610.38,185245.75,185742.12,186514.47,198025.1,198091.53,203177.98
175940.56,175764.9,183100.1,175937.38,181340.66,179444.5,176237.73,182920.95,178038.92,181211.25,180553.23,183316.34,181137.81,181127.88,185698.03,187464.19,183927.69,194475.69,200858.22,203642.34
174320.88,174184.84,170395.66,177188.61,174236.06,180102.88,181009.97,178341.11,177645.8,180481.67,177588.47,180657.92,179740.02,183680.28,182134.38,181785.66,185316.1,195237.38,198308.72,203987.19
175163.19,176676.22,176932.4,177080.81,176615.31,177366.69,178551.1,178270.94,177059.03,181067.0,180826.39,184590.08,179851.66,181057.9,182282.19,185359.0,187810.58,193112.19,200447.75,203545.31
