,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,888082,12430289,21388026,29247493,36414597,43100076,49402643,55414971,61178625,66732410,72112705,77334905,82408975,87352388,92170206,96880223,101490390,106002103,110419593,114753540,118990727
Trial 1,888260,12429573,21385985,29246134,36417898,43098562,49405358,55417832,61181807,66734153,72111874,77335190,82408397,87354013,92168534,96878280,101492587,106001475,110420277,114754995,118992380
Trial 2,889363,12430158,21387550,29247580,36417777,43099448,49406475,55415745,61180429,66734334,72111554,77333096,82411450,87351117,92173307,96877475,101493832,106003353,110418232,114753272,118991036
Trial 3,889695,12427093,21382906,29247035,36413858,43102153,49405020,55417733,61181314,66735794,72110625,77331304,82407622,87352763,92171779,96879936,101490716,106003693,110418693,114755920,118991495
Trial 4,888597,12430259,21386612,29245704,36415275,43099146,49404590,55417920,61181109,66734366,72109462,77333253,82408135,87352054,92171562,96881764,101490779,106003070,110417532,114752717,118990859
Trial 5,889439,12428161,21383393,29243659,36417558,43094808,49405422,55416701,61179891,66733013,72111268,77333411,82411088,87353372,92169986,96882222,101488711,106002623,110418702,114750208,118991105
Trial 6,885252,12429679,21382651,29243851,36416166,43099009,49404093,55416442,61181494,66735608,72112941,77332738,82410476,87351743,92168979,96882304,101492990,106001683,110417578,114751723,118989367
Trial 7,889562,12431517,21385485,29249176,36414910,43101289,49405988,55415388,61179973,66734301,72111874,77333582,82409058,87351980,92169862,96880654,101491884,106002495,110417432,114753093,118988826
Trial 8,887401,12427829,21385119,29247234,36414056,43098404,49402448,55415085,61178224,66731907,72112437,77334932,82409080,87354324,92170325,96878469,101494399,106003678,110417704,114755419,118989081
Trial 9,887857,12429924,21385167,29247379,36415387,43099236,49405684,55417620,61179072,66731872,72110536,77333677,82410237,87353556,92168550,96880649,101490878,106005790,110418608,114752840,118990661
Trial 10,888525,12428644,21386499,29249305,36414531,43098266,49399132,55414931,61177681,66732952,72112015,77333192,82411308,87352486,92173845,96879123,101492442,106003554,110420397,114752921,118991123
Trial 11,888213,12430302,21385630,29247792,36417035,43099957,49404727,55415846,61180415,66734439,72114738,77332926,82408082,87352016,92169820,96882615,101489221,106002631,110418824,114754935,118992549
Trial 12,886462,12429732,21385213,29247129,36419253,43102524,49403797,55416167,61178150,66732213,72112829,77332724,82409891,87353825,92168008,96881738,101491936,106004206,110419218,114753500,118991697
Trial 13,889979,12430671,21384463,29248382,36414948,43101109,49404630,55415357,61178667,66736602,72113781,77332610,82407776,87354402,92171464,96880298,101491311,106003577,110419370,114753789,118990437
Trial 14,892274,12433456,21383981,29248013,36416680,43099546,49403829,55417811,61178702,66731327,72113355,77333543,82408008,87353005,92173926,96881095,101494258,106001077,110421609,114752733,118990068
Trial 15,886094,12428848,21385073,29249502,36415611,43096436,49404164,55415832,61178177,66734053,72111745,77331966,82409788,87352618,92168746,96880826,101493255,106005484,110418599,114753355,118990892
Trial 16,888461,12429064,21385605,29247211,36416240,43096451,49402811,55416901,61178772,66734001,72113596,77333916,82410103,87351112,92168997,96881731,101492809,106002897,110418915,114750029,118991624
Trial 17,888263,12429551,21386615,29245758,36418285,43099235,49405614,55416759,61180817,66734597,72110837,77334506,82410083,87352439,92171672,96881365,101491201,106000801,110420391,114751302,118994471
Overall,11876552,20913873,28822907,36023745,42730994,49054417,55081940,60857937,66422725,71810539,77040420,82124273,87074988,91899124,96614980,101232023,105748654,110169218,114508930,118751635,122909286
