Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
370937.69958762557,367656.99610956584,358813.09808378806,353698.60291114595,350136.8167639627,342841.4696691744,333885.2837294842,342811.3521638003,333476.5305848396,331473.75953574607,327308.31476006366,325504.31085789186,316946.15194910625,323385.4617169209,326136.22426740394,312361.0424935671,312363.5307677415,306260.3815128327,304706.3859434112,310494.2469212943,295009.83735738083,302049.88797681197
358527.8575851537,365627.51946900587,360754.7971376194,353716.7054459427,345299.4806501297,342487.4001387524,340262.64476821455,331769.4572654859,333067.57750179444,327939.2034010872,326557.1946901131,326111.2487688968,319135.3343383181,324476.8317602909,316707.1013633904,317071.38282066106,303663.2237967183,312104.7746238089,309418.3713003579,303008.6847190461,304513.8848581742,305855.77498060366
365008.73719739,361016.2963768896,360428.81750551926,356474.1343269031,348110.23375078535,341475.784200568,341916.23418713105,340668.02328214166,335505.62310330383,330212.10066248156,328328.85734475683,320323.4619372108,326327.5618652269,314996.2994468771,315927.25337087933,311745.7643907178,312224.4712796463,309688.87757846725,309893.68904335983,308189.8194268835,300971.04004402575,298320.2391413711
368134.2604600482,358534.175834008,355146.7058634846,351390.93399415,350713.2467155002,348178.5620997247,338257.7212368188,337269.3748218979,330950.6475135167,330220.1734944496,329653.9393127885,326455.95381325344,322370.84813900705,319067.96106627345,312770.40538115735,316343.4973951669,304611.90547227056,307315.1091633043,301151.24385309196,304589.36051309726,306281.8536667075,303392.8243342765
362282.36413449014,361269.8446187378,355115.75981284736,350836.5277740057,347150.8827033823,342865.05280478724,335306.9143990509,340154.33963546896,336486.43898779945,329310.57965194754,322952.7108421992,326063.8199101299,324149.1382046862,316543.5985903449,311458.54271473904,310014.20712820353,304756.8176953478,299711.8414660881,306515.009977333,303647.556124005,301097.4620474991,300605.9387896531
370929.6914412241,361440.62917657907,355976.32599569164,351469.4132437428,348298.6429306884,340534.1488986928,342295.6952076354,335620.4019537403,337944.032459743,334356.65023847984,331436.5610181677,330272.2164799713,312812.54676793027,319296.31927704165,313622.6052837308,314971.53698442597,310776.84584553854,305929.1523362663,304885.09348030697,297398.66271729534,304910.1418368383,311476.2903412257
367456.58860044024,354610.714697415,360595.6657492168,354914.090894609,348060.45692693995,344162.48195287393,340164.2265403456,338195.33985238103,331285.95639375603,335797.8361981307,323815.7604453464,323588.39402955695,322663.6866056889,319603.9626315937,314439.0426744018,315159.0676990235,307855.76525852404,304510.57519795466,310916.999345829,295144.7368889186,297803.3126101624,298953.2164983893
363895.3440172674,363655.7466510768,361802.40661874413,350937.93584546953,350051.3523708,344422.8797320464,345541.5871942589,339058.0524205612,331586.026452001,331080.5308118611,330419.9070790565,325198.32877117506,320697.4462868301,321732.1577322858,313292.49731412856,314320.5824592946,313970.73012328596,300973.40612118057,306531.32683650363,304083.220256043,303919.468013651,306770.64947152155
363476.07859020325,359510.0358081842,362847.7625793377,354650.3398373635,346296.6875268547,344683.31367477705,338736.2209620393,332737.1036434667,335776.81312540214,328648.6539358718,326996.9094360435,319457.6824752797,322578.79873446876,320026.38982506684,317020.9430399989,310227.9079662743,308849.75944793626,305134.3960757982,305646.1350151888,307776.8776105294,303426.345912696,304427.3915850343
367379.3655467951,362041.4282952438,355365.2723056715,360330.08872982464,354299.8836160684,342695.4173203862,341148.30539612105,331333.8361613841,331193.5885658324,336673.87156602007,329063.8251475529,324587.51172391186,320022.42080496135,318143.376813979,317447.4408827918,314199.1362769565,308841.8549532055,304829.22602085106,303039.7654323294,300315.24766617344,300970.8637410948,302328.34764571727
367257.2492196305,356431.2114312897,358168.29490090883,345989.78269925097,344854.2725992282,340115.8301182416,343226.7359613726,343763.68776935205,332016.7388189547,329924.1841306651,328961.2369881032,321672.90710701986,322219.42873664096,319495.9948262924,321683.78249275003,311679.97840039537,311584.30135459814,306690.8231078016,304521.86663353024,301301.68709511944,297888.80594314425,304538.2453588826
362721.81358936557,356422.70170042873,357677.80554474355,356179.6744235256,347519.1058681343,349861.067148999,339672.4841373119,336569.2957366827,335293.8615822606,328889.2988917872,331048.55953646346,325291.2424686989,319442.5627350938,319575.06360778824,312660.30880675785,316314.978380058,311879.88397063117,311035.6954008056,305602.5134927823,307455.0425894497,305568.33638289,299441.2780851343
372086.16788550897,358313.48801848985,356257.86265171156,354800.8523209831,353684.4359948613,346348.05732083204,345585.55641163647,338421.9673096058,336521.8370225412,331158.7596165118,332381.82769769506,324744.6512897911,325444.2893537948,321713.7576659032,318190.0231184662,317034.7684524079,308076.73272101895,306163.39943293086,307718.0617098241,296945.51861349697,300549.9592362029,299966.10519408586
365847.4044618987,361104.8122969118,358478.8648554734,356534.870331172,344280.9880685079,342386.2495283856,342974.7733280895,336426.49840354006,329901.8892810972,327610.8284659329,334355.0825279838,324365.54747187375,323453.74319389754,323130.444087654,320162.23508743435,305413.24284057174,305341.0528682199,317250.1970640382,303573.7137451367,302746.01893881185,301203.6794104508,304709.0412417844
372172.0022600376,365832.9790429384,362371.6256570901,359092.30285938183,344670.7656225401,344171.51635102916,338143.46165738476,333663.4477464524,336030.7558335519,332447.3454815344,323645.0175633073,327657.8479121557,320966.9839027866,319137.2232162722,316412.10609776236,312705.49566619657,317274.94142745936,313813.4768399672,306701.38032028044,304044.18998624134,305859.5707662979,298655.3433663853
370008.6704549521,359577.47211867257,357351.8772238487,361597.48309779295,343871.3456076278,349268.7509367728,341322.3781599949,335882.22253485676,334272.35302640276,329622.99951288203,333383.0201715206,322261.3638446579,322099.1722194172,321014.0998010023,310705.67253271746,314069.9971989213,313227.3036722361,309266.17157092015,304363.7970911895,304842.3054794442,301318.8099108002,307763.4888253252
