Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
367713.66901064495,252580.44810010266,218261.8482529386,206198.70376062384,199566.60170704027,187598.34053758837,185721.96806839784,186855.96604922955,179562.61836860943,177903.92835956792,175169.0473987864,174193.01338974157,173179.12807321595,176328.09674874725,177920.453821445,174826.06465793352,176000.47496573295,176058.57831762993,178222.73465446805,178733.70884847848,177407.3920658709,183033.58520258425
369150.0947955623,249062.26515537864,220386.46298652352,207273.86231940624,199731.5016772883,190133.3953399525,184505.5410232893,180935.98340415425,178572.4837133507,176661.64307538763,178381.33699435164,174476.14394790004,176190.83177155367,177656.10914822595,175552.52069647817,174680.03462510064,165175.56664262153,177100.35886401692,181721.17232164711,175566.27792329455,181656.54685272748,184493.05653598424
369005.9198573832,245753.74047927943,217989.25137642867,209989.52290882103,196367.4801207935,190279.77039510568,187324.73170746112,184174.58899844938,178625.06326070247,180407.45742997638,172459.43940580258,174099.7257408229,178300.6300754536,173530.4539914274,172116.73777553864,175834.87442526332,176370.35909122007,175320.65590902546,185240.83166873403,178243.004666695,180049.17151849103,179981.6724434244
364667.10499785614,244868.7746639251,217273.90024713636,206418.31035582302,196952.4576748293,192715.22611070547,187484.78280891138,182684.0920372147,175761.20775141864,178307.56507485805,176613.9884495339,174721.688711925,177446.85964139356,173036.6885244873,174060.27721165624,173481.64290884207,174124.90672448254,176503.13084867783,177622.3502460749,177525.14987720468,181908.02020760742,183357.48138217142
369613.14422612137,239983.0657176722,215905.7174101725,204337.89650194094,195505.04380755956,186963.0898736036,181205.8585890726,184953.47903129781,178636.5016569847,175541.38611165585,176804.92426720198,175716.50078447245,176947.67796071316,172488.7248927119,172653.33103342162,171430.6254612308,173306.98698393579,174171.0402119781,180676.3848332282,175169.26249200513,181730.89285204854,183604.58071758779
368467.671575577,248070.88223771425,214948.64318950614,205456.3307122405,196821.52741350158,189607.46605773375,186314.90822854463,181995.56522943373,178929.63565226563,180390.08260369734,174179.134233378,175127.87887886527,172923.37782068588,174663.26506068892,173908.10027885874,176746.5439444447,173719.68585371505,173813.53863240892,181506.85196315293,174550.91093577864,183986.76525039168,184222.2642040716
361138.4316046783,244205.75402337447,220456.3027921191,204211.19883485453,198671.0742800604,191866.581735951,186508.58365797804,182665.10252970702,178415.44864476845,180351.79793498298,174069.9105729706,174977.62134642844,179373.0157795528,174524.61657366215,173693.99802323367,177159.55827333356,173727.130627448,174919.2159678567,181570.5828420194,174406.25555767037,180441.82820406783,182526.77172431815
363749.2066413071,249608.7604369768,219456.8420730844,205214.73944303242,199400.65334058355,191189.0040028209,186306.42702720384,180681.9135991886,178951.71731274098,180618.04040820478,178027.5080208927,175836.85905438624,177488.8168182801,175374.58434121666,175199.06922177068,174959.6508340632,177964.31629582337,170455.37751332426,179069.31111156626,177099.9837425496,183356.20886227064,186776.88368760791
370644.58300541964,244907.32153357458,221837.6172195522,209866.8414133775,195802.52830883596,190405.88629928487,189602.87796832275,181060.64305679337,181235.91043602652,177650.83670922014,175895.29890246174,171871.21551005193,176744.76822096514,174911.8098157734,173531.80730293618,174183.77004022698,177417.68853734672,173056.584249864,179863.94907514812,178310.95854911665,182001.65874644593,183428.2916551656
363286.5081136068,247788.36120629724,216537.82130747015,209201.49533296633,199570.34749637192,188237.16470034746,187032.90612061642,180256.40658669444,178674.66319577929,180771.0662454273,176334.70183670314,174605.03108737967,174630.11188692358,171517.85546421335,174535.21287005156,174155.5173524164,176299.70927498385,175335.4707915057,178910.15087995352,177024.31281893922,181857.0470676833,185260.87202548655
