,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,585312,5614402,8951523,11745536,14231207,16512242,18636749,20639902,22543643,24361111,26099823,27766101,29362914,30893829,32363529,33781746,35145884,36453188,37708958,38922182,40084607
Trial 1,586594,5614593,8950165,11743586,14233375,16509947,18636545,20641350,22544983,24361414,26100071,27766033,29362074,30895041,32363003,33780438,35146580,36452878,37708502,38922577,40084804
Trial 2,587292,5615142,8950020,11745532,14232943,16510240,18638465,20641421,22544780,24361851,26099292,27764545,29363338,30893418,32365431,33781054,35147164,36453400,37708907,38922259,40084035
Trial 3,588608,5613970,8948347,11744325,14232053,16512582,18637111,20641320,22545180,24362532,26098493,27764621,29362375,30893266,32365065,33781854,35146353,36453404,37708416,38922789,40084460
Trial 4,587329,5615221,8948480,11744811,14232717,16510680,18637354,20641532,22544427,24361277,26098637,27765552,29362080,30894533,32363833,33781746,35145586,36453265,37707885,38921726,40083988
Trial 5,588602,5613816,8948152,11742915,14232762,16508933,18637471,20640645,22544170,24361773,26098959,27765393,29364100,30894406,32364215,33781984,35145366,36452543,37708972,38920768,40084434
Trial 6,584011,5615985,8948374,11742218,14233344,16511724,18636178,20641035,22545241,24362384,26100926,27765468,29363545,30893050,32363663,33781216,35146830,36452371,37707951,38921684,40083937
Trial 7,588150,5616682,8949943,11745190,14231757,16511997,18637662,20641005,22544883,24361413,26099988,27765937,29362491,30894262,32363019,33781022,35145924,36453376,37708444,38921562,40082865
Trial 8,585995,5614375,8949411,11745493,14231863,16509699,18636447,20640216,22543572,24360840,26100352,27766727,29362157,30895122,32364076,33781497,35147165,36453060,37708194,38923018,40083435
Trial 9,585423,5614762,8948837,11743939,14233099,16511622,18637407,20641503,22543974,24360802,26099247,27765831,29363024,30894038,32363477,33782334,35146168,36453624,37708129,38920822,40083610
Trial 10,587343,5614353,8950192,11745464,14231547,16510172,18634599,20640373,22542552,24360553,26099631,27766108,29363429,30894767,32365497,33781270,35147109,36453840,37708651,38921746,40083649
Trial 11,587350,5615400,8948867,11744443,14233040,16511347,18636801,20640438,22544746,24361771,26100788,27766157,29361900,30893576,32363814,33784001,35144763,36453291,37708826,38922268,40083788
Trial 12,585841,5614738,8949458,11743563,14233779,16512536,18636608,20641518,22543574,24362282,26100546,27765579,29361627,30893965,32363363,33782082,35146443,36453798,37708448,38921674,40083648
Trial 13,588640,5615901,8948410,11744654,14231238,16511250,18637557,20640776,22544060,24362293,26100290,27765333,29362037,30895302,32364071,33781336,35146019,36453178,37709499,38922308,40083446
Trial 14,590287,5617925,8948000,11745985,14233152,16510872,18635958,20642454,22543316,24360251,26100045,27766169,29362047,30893480,32365338,33782316,35146739,36452014,37709319,38921505,40083880
Trial 15,585424,5615139,8949346,11745602,14232915,16509691,18637088,20640542,22543463,24362003,26099722,27764894,29363058,30894375,32362232,33782007,35146603,36452934,37708756,38922236,40082682
Trial 16,587833,5614867,8948687,11744694,14233448,16509733,18636541,20641373,22544530,24361210,26101817,27765260,29362109,30893993,32363724,33782228,35146503,36453033,37709213,38920562,40083805
Trial 17,586785,5614924,8948894,11744090,14232603,16510930,18637626,20641616,22544777,24361852,26099686,27765226,29362877,30893766,32364315,33781966,35146093,36452417,37710173,38921116,40084791
Overall,5399120,8777005,11594539,14096810,16385101,18518931,20529379,22437864,24259980,26002725,27672521,29273419,30808664,32281561,33702453,35070364,36380154,37638240,38854296,40018705,41142835
