Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
365847.4044618987,345367.1937548057,330540.5008756691,326827.0990960269,320455.24664035416,314132.77969225036,302050.04618194536,314141.2099187764,305296.3665495787,298431.39037048415,299240.7241465494,297471.74056144315,290089.96754558146,293174.17470228026,301292.5423866781,292769.34218290204,292381.3176583509,285282.020991542,284822.64997425943,289127.6322818154,276701.44341103674,286694.0093807189
372172.0022600376,341950.23310814,334385.4770245599,323546.1523934727,315544.245419665,311708.3242279213,311042.93241972866,303276.98023602134,305000.3355585976,300131.1148821885,302019.8517928746,294981.0497070805,292106.550994248,298548.9961167099,294579.27819451294,295114.53048680024,282870.1038424562,291069.32455440646,290809.45265375025,286097.08225027396,288320.02443457115,288977.32261119434
370008.6704549521,334182.89963507897,332818.63705288724,323900.0400980775,318707.08735057147,311695.8735752904,310260.32744265907,309803.68852186674,305658.56215833355,301098.192202626,295088.2928157229,289406.1919427274,300669.8872023595,288694.60433716176,292697.0819897806,293607.5572639541,289798.76088970574,289341.46455621225,295525.8762146173,292049.13692794245,284481.50184854283,278852.2968562298
364507.50418380677,340789.651872965,326572.83225500095,323414.38902771473,317533.16055463115,316562.85326567333,311746.9173491731,307750.71539202327,297165.207259163,299736.0424286688,297897.3227699336,300098.9439728108,297265.7871803071,292128.48213020974,287928.05487876304,288024.44734479225,287032.3693270868,288578.1134445504,280993.1742397743,287780.6402386395,288231.84360705543,287783.4233611676
370937.69958762557,334221.2338162452,326426.76022960077,320101.69960374123,314919.0290552722,314108.5616904242,301931.52873383445,311106.93609813624,305405.1789594715,299114.8049816736,303111.9984101487,299072.07151988195,294390.56514537276,289893.6686321822,286614.8199442706,291232.3198907922,284657.0607563874,283628.3416365834,287903.63515416125,288186.5500613242,284677.041638857,282974.00340932154
369823.5136454685,336882.45245201077,328545.6851450956,321062.12096919236,316350.1987480268,311131.80947651196,313905.08923851856,307322.72391114244,309048.96067030984,305631.01299216226,297539.0981222617,300747.9368596412,289223.4733593643,294442.5108026805,286256.29900437244,293760.0561480307,287945.8226309472,286407.24383514404,285019.08273132273,281071.8113539964,287576.51818389056,290589.11668556975
358527.8575851537,336468.876321921,334425.8493253434,319983.97283320763,319316.5647927217,316477.2929090341,311351.52649432496,307237.4302356015,301712.55800292693,304613.74292620795,294467.5416495414,295487.09382526774,297178.47148359905,295456.9448305029,292252.5990399027,292789.31661684497,286306.0437113225,284792.65511774586,293347.70135926007,280637.9618995792,282889.53295910475,283666.13179465913
365008.73719739,344599.6864248819,333073.8257193061,324462.1335784879,319303.0611824342,316232.7369798926,311744.9457713149,310986.9616319991,303866.6427346651,302965.4938087857,303107.2202494107,299244.23651824624,293878.15047446,295834.6203094126,291055.63708677876,293595.6941146519,292182.06334584235,280600.43659841956,287709.3665491245,286254.79596417426,288832.71201759996,287618.8084717407
368134.2604600482,338007.7672548923,334817.3219093069,324039.72821693064,316992.674960745,310641.0759875033,312606.5121031544,301785.31334902125,305276.97503966547,298864.14573917584,300250.67007785535,295458.0353008129,295284.48740262626,296239.44330835063,293095.231980718,288847.25874245836,290386.77782352804,286854.0121601908,285175.0623066141,289619.1594614106,288717.65456038446,285442.0204778449
362282.36413449014,339414.3849794966,332172.671233556,328497.6712953785,324467.6304403336,311201.3023993827,309310.96722704446,303601.6229919065,303210.5956964503,306549.19195690425,299509.89522150863,296034.1978678053,293068.55120623636,292001.6277587441,291065.292754951,293423.09099103103,288359.8566310909,286679.9467754302,289276.90237329516,283877.7499274751,282095.47669403534,284297.40157714643
370929.6914412241,333349.57681505545,331198.27585465787,318025.6169238995,314825.54832543974,309448.94820833125,312336.2645452185,315597.88892816525,303001.6727612192,299890.97588438395,303029.2313727403,294355.3865101199,293032.94971452234,296745.99453373987,296473.2481470966,292996.3276296564,293286.79218437406,285305.19800322666,283348.70482534275,283829.33684066316,281429.4847346997,288625.1740596546
367456.58860044024,337781.16256630997,332051.55063999793,329875.0878148627,314988.4021705837,316100.45664287935,309092.861556659,305831.5865887585,306855.6390515261,300026.2072133319,300060.94132415403,296633.71725666046,293031.2064838161,290210.2379215412,290559.80488340533,293030.84667791065,288057.8516905406,291359.36186165246,288484.34711958386,287255.8493003632,286576.76283218927,283861.5044837763
363895.3440172674,334327.5772740739,327167.88278986956,325107.1277055447,321414.297334091,317592.6524192395,317461.87153861235,309690.05681322736,305565.1611404412,299396.68589790293,303108.04354428715,295609.42276455427,296202.8893013468,293938.0197996418,292323.96633198514,293221.45631055185,288479.432507669,287524.4303566861,290843.90192983946,280495.4368260239,284027.06530830153,280345.420083883
363476.07859020325,339902.2765292403,332885.5741325955,329558.9986951093,316444.4094153756,314372.46354434174,313511.1883176281,306440.71981338575,302443.5208060553,300504.3259080127,307497.56282695243,293587.38867539144,303907.40120448906,295853.2603317532,294540.2052407528,282008.9511629933,286293.56653922336,297486.338784821,281476.86170384206,287888.05185816117,283595.5604316093,286936.82088921464
367379.3655467951,343987.18772688595,334622.612334674,326034.40244843886,313781.1525129564,312221.86526084953,310274.3866477805,306387.8714787134,307891.95607590413,302306.91280865186,297289.64857648907,301763.3383572397,297039.1056548668,294497.5833409396,289675.67442393187,292178.6486016854,290349.486162333,296642.8300341639,288732.70750381576,287024.4051006706,287053.92755731376,282675.77889687155
367257.2492196305,338907.8891364039,329579.1351932432,331635.6483314301,313852.32891321473,318759.85320448934,310135.65934567247,308149.5960539328,307214.40636964317,301612.00099556224,306173.10172765434,293770.251713026,298069.29142114526,295711.1422949921,291288.3165003669,290527.58812893834,293670.4468431538,286879.0548618551,285995.4028432786,285325.21641988656,283770.2114215171,290053.3725484919
362721.81358936557,337429.25956419477,329085.9480832781,320803.5631129601,319251.80785587884,320491.12685546465,316057.7428744754,304246.79315785354,307648.03718376916,300349.4915824049,301285.4933682004,297643.58436563023,300708.2998042053,295746.66761774605,287511.1658958751,290857.890936327,297775.1724824662,294821.4911087962,287954.96949612617,285282.22084447223,278998.0094535892,286539.9620845817
372086.16788550897,342259.7329240695,331069.06737473875,325834.7244104253,312968.5832573198,311732.15810219425,310487.4035530437,310327.79866741656,302903.56700220716,301705.92943422694,300151.246654224,300165.28893268155,294683.81278014724,295739.3391752751,295706.48026014987,293397.93158289394,290316.15039610985,284165.5493188131,280508.9347201908,281074.3500079404,282369.87837307283,288082.83136516606
366147.6393304311,340697.9500001498,326888.7900577559,322523.83959784923,314945.00460947724,320322.45459618553,312122.66593426466,309974.1071001716,303416.73705261794,308954.71136178134,299751.32143273077,294819.8292842832,296785.47713883786,294171.3771851333,290422.95873564214,292509.81380574417,284877.88905635197,292064.2358152293,285948.4980699958,291320.14233629685,284714.80887028517,286211.25508056884
367325.50054841244,339972.5313317714,329429.19003496505,326294.78395466215,317069.4088214391,320410.9802421142,311271.6491951209,307708.7532404831,301005.2214078556,304480.64619558316,306966.0534058497,300356.6441681229,294693.81777816836,297619.97013666027,291849.44996590837,293720.77552719944,290309.04216587637,286937.88510394254,290083.26193517447,287863.9236054187,289720.88527683786,284703.8249222141
366139.4635634406,351079.9015852452,325991.1414294003,322357.38564355636,318675.67175318935,314706.32115276426,306441.565914683,308088.6769290379,305913.8115905742,300587.58176827966,294562.7837072097,286910.8532873101,294937.78542890894,299392.92173759436,289886.33140481124,294131.20202676125,285285.5745592097,285126.73023257084,284017.86188250437,285304.697886826,284769.72128239606,284065.1945184553
367262.36961340695,336207.8019106075,332520.85595721623,333161.00342205516,319154.85544654884,314488.2259046887,305743.5868926955,308849.838204207,301046.5401184415,305895.37784216687,298759.27727768087,299341.91772084794,295138.9386631551,298720.48337454716,296177.2026121127,296172.11563943187,290203.07964203117,289218.31964788144,282760.2151824337,285997.00617077434,286062.3566266229,286221.0896466973
367103.66396173683,341733.0856387443,327829.88090203155,320306.35787337524,317076.71770928765,318382.8870643287,308647.35143312556,312168.2390806842,301344.3487514033,308585.38828537596,302207.980806557,298055.6584282054,290671.31233345385,291711.2424498712,293627.1333722541,293642.885320158,291514.69168183807,291053.7636911974,289611.84414780734,288808.8754150424,288810.7438300178,282595.89033558604
364970.1063115219,342966.5293149523,334399.47618279693,322593.00329515105,314779.656238844,321698.53243659687,311517.2134950717,306792.54729038046,305683.7506483877,303096.1661326695,301942.40219656046,296204.6986552139,294712.1068605539,292592.7328526157,295688.37163801916,284357.99398771115,291132.4140079761,291284.1576107897,288601.46282239415,280712.913941818,282024.2249070629,285015.5399644652
