,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,888082,12430493,21393955,29262968,36450447,43155559,49480556,55514124,61297693,66866964,72257042,77478256,82544564,87461001,92246159,96902565,101442782,105864959,110177730,114387078,118478220
Trial 1,888260,12430169,21391317,29262598,36454399,43153422,49482100,55515927,61300845,66868664,72256145,77478143,82543328,87462090,92243618,96899695,101445074,105864784,110179320,114388483,118479296
Trial 2,889363,12430597,21392893,29264535,36455313,43154178,49484841,55514500,61299556,66868626,72255867,77476323,82546056,87459002,92247707,96898875,101446189,105866436,110177140,114388407,118479034
Trial 3,889695,12427523,21389018,29263823,36451814,43156507,49483483,55516226,61300269,66870700,72254828,77474357,82543035,87460236,92246312,96901397,101443229,105866216,110176847,114390170,118479173
Trial 4,888597,12430341,21392099,29263655,36451903,43153205,49483785,55516460,61300586,66869705,72254228,77476708,82543257,87460368,92245050,96903535,101443990,105866194,110175836,114387164,118478057
Trial 5,889439,12428352,21389099,29260483,36455121,43149587,49484025,55514191,61299251,66867663,72255018,77477663,82546638,87461268,92244998,96904329,101441004,105865227,110177080,114383831,118477838
Trial 6,885252,12429394,21388770,29261495,36452818,43154286,49482163,55516176,61301724,66870519,72257692,77476278,82545722,87459630,92243698,96903473,101445176,105864569,110177165,114386395,118476271
Trial 7,889562,12431152,21391613,29264811,36452938,43156159,49484064,55513851,61299111,66868940,72256244,77475880,82544529,87459816,92245432,96902676,101444582,105865793,110176523,114387288,118475932
Trial 8,887401,12428395,21390905,29264957,36451037,43153605,49480411,55512860,61297235,66866008,72256117,77478195,82544512,87462154,92244438,96900656,101446691,105866833,110177063,114389464,118477273
Trial 9,887857,12430811,21391022,29264475,36451621,43154766,49483463,55515272,61299724,66866682,72255078,77477541,82544386,87461972,92244129,96902280,101442937,105868904,110177485,114386561,118477992
Trial 10,888525,12429257,21390786,29265544,36451311,43153801,49477953,55513076,61297113,66868024,72256474,77476834,82546371,87460577,92248043,96901020,101445848,105866794,110178800,114387035,118477454
Trial 11,888213,12431061,21390953,29265295,36453661,43155051,49482982,55514416,61300647,66868636,72258552,77476104,82543476,87460715,92244026,96904490,101441176,105866072,110177598,114388610,118478556
Trial 12,886462,12429902,21391639,29263669,36456268,43157725,49481990,55514918,61297164,66866887,72256734,77475205,82544820,87461463,92242995,96903534,101445599,105867131,110177616,114387709,118478805
Trial 13,889979,12430806,21389892,29265351,36452038,43155661,49482165,55513498,61298154,66870190,72257500,77476289,82543961,87462478,92246747,96902647,101443960,105866658,110177743,114388511,118478390
Trial 14,892274,12433966,21389256,29264943,36453381,43153837,49481715,55516501,61298119,66865703,72257345,77477161,82542964,87460886,92247719,96903789,101445763,105863087,110180326,114387361,118477070
Trial 15,886094,12428452,21390282,29266785,36453325,43150494,49483096,55514131,61297050,66868403,72255428,77475546,82545110,87461214,92243314,96903075,101446367,105867705,110176877,114387074,118478293
Trial 16,888461,12429046,21391531,29264418,36454179,43151667,49480855,55515043,61297614,66869028,72258387,77476766,82545688,87459564,92244004,96903212,101445036,105866558,110177761,114383572,118479606
Trial 17,888263,12429729,21391590,29262981,36455185,43153601,49483266,55515252,61301193,66868870,72255256,77477863,82545879,87460565,92245884,96903254,101443409,105863734,110179060,114385005,118481160
Overall,11876552,20918749,28838577,36059654,42784339,49131183,55178944,60976258,66556530,71954501,77183937,82260848,87184687,91976594,96640511,101189359,105617347,109934796,114151077,118248221,122239507
