Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
202310.7,189044.5,185983.98,186220.03,184627.77,186560.9,184988.89,183347.81,179243.25,184860.0,185535.12,183845.78,189898.62,188989.14,192538.0,190032.38,190466.66,192259.38,195584.38,190956.06,194092.97,189481.53
202302.6,182156.7,182153.28,183346.62,181053.1,184821.47,181944.22,183826.58,191014.31,185523.25,186001.25,186103.31,189167.11,188791.53,187827.5,190566.22,187682.44,195562.94,191592.19,194048.06,191059.94,195131.94
203363.52,183364.55,184733.64,186898.23,183336.31,182798.86,177461.16,185147.47,183682.56,183428.69,184279.69,182160.0,185816.81,188848.12,187139.6,190351.33,190549.61,190082.62,194727.42,190441.33,194238.6,192710.1
200255.94,188634.0,186241.84,185641.66,180309.33,182499.94,187850.75,181433.97,183510.47,184091.31,189256.6,190023.06,183262.94,190041.48,187615.17,190930.56,190763.81,197127.81,193863.66,191583.44,194592.8,189971.56
201619.58,186936.81,184268.81,183060.12,186343.89,179821.8,185563.86,187954.27,181169.45,182308.1,187271.08,183756.81,189362.66,187896.94,185371.06,188026.9,189317.19,191864.66,191024.77,192723.77,197268.69,192666.97
200451.6,187045.22,183669.84,187957.12,181361.4,185583.22,182708.55,184367.03,185766.62,183583.45,186698.95,185541.11,187545.0,188554.44,191474.88,190939.97,190169.56,190728.08,192399.03,194392.72,193116.31,191897.27
205270.27,185985.58,184083.34,186565.0,182126.39,181848.1,185374.12,183544.7,185579.56,183304.47,185786.25,187548.9,183327.67,189991.9,192067.02,188760.78,188163.88,193221.53,192794.97,191628.81,192931.97,192881.97
199770.25,191264.14,189905.73,182376.1,186420.81,185119.88,185248.6,185447.94,185093.56,179184.4,189266.94,187950.44,186828.12,190016.78,190050.53,190440.19,191214.64,191848.69,189809.69,192787.38,196850.0,189138.78
202751.56,182686.25,180052.31,180856.12,180670.44,185050.66,181731.62,184521.0,183197.11,179889.62,184909.84,186421.12,187874.12,189888.64,191110.97,189047.88,187507.94,189642.36,192033.3,192627.08,197813.19,191104.97
201280.47,183575.19,187532.17,183452.0,184156.23,180576.19,187515.75,186897.58,187223.4,186591.77,185113.84,184864.5,186516.69,183652.5,191852.44,191475.67,189120.56,191257.28,191943.12,189650.27,196567.88,189532.28
